Name,Dominant Discipline,Alcohol Sales,Location,loacation,Address
Adefua Cultural Exchange Workshop,Performance,N,47.5420331,-122.272057,6716 Rainier Ave S Seattle WA 98118
Light in the Attic Records,Music,,47.664829,-122.369316,913 NW 50th St Seattle WA 98107
University of Washington Elisabeth C. Miller Library,Education,,47.658408,-122.290305,3501 Northeast 41st Street Seattle WA 98105
Art With A Heart,Arts/Cultural Training or Education,,47.604534,-122.320335,316 Broadway Suite 316 Seattle WA 98122
Belle and Wissell/Oxbow,Multi-use,Y,47.5487509,-122.3170704,6014 12th Ave S Seattle WA 98108
Saint Marks,Multi-use,,47.631859,-122.321548,1245 10th Ave East Seattle WA 98102
Gage Academy of Art,Visual,Y,47.6325497,-122.3206894,1501 10th Ave East #101 Seattle WA 98102
studio e,Visual,N,47.55391,-122.326409,609 S. Brandon St
University of Washington Kane Walker-Ames Room,Multi-use,,47.65663,-122.309154,4069 Spokane Ln Seattle WA 98105
Laurelhurst Community Center,Community Center,,47.659863,-122.278038,4554 NE 41st St Seattle WA 98105
Green Lake Community Center,Community Center,,47.680391,-122.325888,7201 East Green Lake Dr N Seattle WA 98115
Chihuly Workshop,Service/Supply,,47.665052,-122.37122,1111 NW 50th St Seattle WA 98107
Efflux Creations,,,47.601543,-122.33117,201 Yesler Way
Gallery Context,Visual,N,47.5514664,-122.3283134,5701 Sixth Ave South Seattle WA 98108
West Seattle Fabric Company,Service/Supply,,47.572735,-122.37043,3400 Harbor Ave SW #106 Seattle, WA 98126
Martin-Zambito Fine Art,Visual,N,47.610901,-122.3254749,1117 Minor Ave Seattle WA 98101
Arts and Visually Impaired Audiences,Arts/Cultural Administration or Advocacy,N,47.622562,-122.321693,400 Harvard Ave. E. #202 Seattle WA 98102
Glassybaby University Village,Service/Supply,,47.6604,-122.280525,2627 NE Village Lane Seattle WA 98105
Ballard Community Center,Community Center,N,47.672783,-122.391548,6020 28th Avenue NW Seattle WA 98115
Flamenco Gitana,Arts/Cultural Training or Education,,47.6973909,-122.3736435,9250 14th Ave NW Seattle WA 98117
Allied Arts Foundation,Arts/Cultural Administration or Advocacy,,47.63382,-122.276352,1620 43rd Ave E #16A Seattle WA 98112
Duwamish Longhouse,Performance,N,47.56093545,-122.352001,4705 W Marginal Way SW Seattle WA 98106
Monster Art & Clothing,Service/Supply,,47.665687,-122.382206,5000 20th Ave NW Seattle WA 98107
West Seattle Art Nest,Arts/Cultural Training or Education,,47.56538,-122.386383,4138 California Ave SW Seattle WA 98116
Neighbours,Music,,47.614395,-122.321198,1509 Broadway, Seattle WA 98122
Cleopatra Park Audio Recording,Studios,,,,
STG Neptune Theatre,Performance,Y,47.6609714,-122.3138972,1303 NE 45th St Seattle WA 98105
Ted Brown Music,Music,N,47.675826,-122.317088,1006 NE 65th St Seattle WA 98105
Cornish College of the Arts- Annex,Arts/Cultural Training or Education,,47.61760085,-122.3345624,1020 Virginia St Seattle WA 98101
REDred Photo School & Studio,Arts/Cultural Training or Education,,47.595513,-122.327132,815 Seattle Blvd S Seattle WA 98134
Mainframe,Service/Supply,,47.551844,-122.319481,5628 Airport Way S #110 Seattle WA 98108
Grand Illusion,Cinema,N,47.664752,-122.3127097,1403 NE 50th St. Seattle WA 98105
Jack Straw Cultural Center,Music, Literary, Arts/Cultural Training or Education, Performance, Visual,N,47.659306,-122.318079,4261 Roosevelt Way NE
Seattle Art Museum Olympic Sculture Park,Visual,Y,47.6163466,-122.3538499,2901 Western Ave Seattle WA 98121
Design In Public,Arts/Cultural Training or Education,Y,47.610493,-122.341634,1911 1st Ave Seattle WA 98101
Seattle Central Community College Broadway Performance Hall,Performance,N,47.6157581,-122.321786,1625 Broadway Seattle WA 98122
eXit Space School of Dance,Arts/Cultural Training or Education,,47.6808468,-122.3238474,414 NE 72nd St Seattle WA 98115
Music4Life,Arts/Cultural Training or Education,N,47.622452,-122.358414,422 1st Ave W #101 Seattle WA 98199
Theater Schmeater,Performance,,47.61344,-122.34325,1500 Summit Ave Seattle WA 98122
Blessed Sacrament Church,Multi-use,,47.665938,-122.318411,5041 9th Ave NE Seattle WA 98105
Electrokitty Recordings,Studios,,47.66083775,-122.3376838,4415 Densmore Ave N Seattle WA 98103
Brooke Westlund Studio + Gallery,Visual,N,47.6088638,-122.3413696,1516 Western Ave Seattle WA 98101
Hillman Guitar Instruction,Arts/Cultural Training or Education,,47.640102,-122.341103,2412 Westlake Ave N Suite 2A Seattle WA 98109
Radio Variedades KXPA 1540 AM,Music,N,47.601443,-122.28545,114 LakeSide Ave S Seattle, WA 98122
The Factory,Visual,,47.612338,-122.319368,1216 10th Ave Seattle WA 98122
Barnes & Noble - Downtown,Literary,,47.61287415,-122.3352762,600 Pine St Suite 107 Seattle WA 98101
Holy Cow Records,Music,,47.608707,-122.341049,1501 Pike Pl Suite 325 Seattle WA 98121
The Pioneer Collective,Multi-use,N,47.598572,-122.333794,100 South King Street Suite 100 Seattle WA 98104
Vetri Glass Gallery,Visual,N,47.6081315,-122.3390359,1404 1st Ave Seattle WA 98101
Municipal Tower Gallery,Visual,N,47.60501625,-122.3295729,700 Fifth Ave 3rd Level Seattle WA 98104
Royal Esquire Club Inc.,Music,Y,47.556855,-122.284429,5016 Rainer Ave S Seattle WA 98118
Stretch and Staple Canvas Printing Company,Service/Supply,Y,47.687136,-122.355306,8005 Greenwood Ave N. Seattle WA 98103
Central District Forum for Arts & Ideas,Performance,,47.6019002,-122.3137703,104 17th Ave S Seattle WA 98144
Kind Hand Studio (CLOSED),Arts/Cultural Training or Education,N,47.6642404,-122.3810653,4775 Ballard Ave NW Seattle WA 98107
Seattle Public Library Northgate,Literary,Y,47.7059559,-122.3228384,10548 5th Ave NE Seattle WA 98125
Fucko Alley Gallery,Visual,N,47.7060528,-122.3397162,Alley of 10525 Ashworth Ave N Seattle WA 98133
Artspace Hiawatha Lofts,Live/Work,N,47.5951899,-122.3099181,843 Hiawatha Pl S Seattle WA 98144
Seattle Center Mural Ampitheater,Multi-use,N,47.62056855,-122.350491,305 Harrison St Seattle WA 98109
University of Washington Hutchison Hall,Performance,N,47.6536581,-122.3168679,NE Pacific St Seattle WA 98195
Seattle Public Library University,Literary,Y,47.665541,-122.3178615,5009 Roosevelt Way NE Seattle WA 98105
Southeast Seattle Community Youth Orchestra,Music,,,,
East African Community Services,Community Center,,47.539423,-122.291018,7054 32nd Ave S Seattle WA 98118
Gallery IMA,Visual,N,47.5989643,-122.3331035,123 S Jackson St Seattle WA 98104
University of Washington D Center,Arts/Cultural Administration or Advocacy,N,47.656761,-122.312027,Mary Gates Hall University of Washington. Seattle WA 98195
Math 'n' Stuff,Service/Supply,,47.693851,-122.317268,8926 Roosevelt Way NE Seattle WA 98115
Calypte Gallery,Visual,,47.618587,-122.317818,1107 East Denny Way #A2 Seattle WA 98122
Sub Pop Records,Service/Supply,,47.6132461,-122.3409939,2013 4th Ave Third Floor Seattle WA 98121
Khambatta Dance Company,Performance,,47.551598,-122.375336,5609 34th Ave SW Seattle Washington 98126
Bayview Work Lofts,Live/Work,,47.619567,-122.359014,168 Western Ave W Seattle WA 98119
Can Can Kitchen and Cabaret,Performance,Y,47.608811,-122.340249,Pike Place Market 94 Pike St. Seattle WA 98101
Barnes & Noble - Westwood Village,Literary,,47.521026,-122.363573,2600 SW Barton St Suite E-1 Seattle WA 98126
Seattle Musical Theatre,Performance,Y,47.68239,-122.26369,7400 Sand Point Way NE #101N Seattle WA 98103
